Plot_Name,Location_Type,Year,Observer,Visit,Interval_Length,ID_Method,Distance,Flyover_Observed,Common_Name,Scientific_Name,AOU_Code,PIF_Watchlist_Status,Regional_Stewardship_Status,Temperature,Humidity,Sky,Wind,Disturbance,Initial_Three_Min_Cnt,Start_Datetime,Duration,Month,Season,Start_Hour,Time_Period
34,8546,2018,6391,1,8614,9865,7352,0,263,263,263,0,1,19.8999996185303,79.4000015258789,3097,4417,8029,1,2018-05-22 06:19:00,600.0,5596,5596,6,10167
34,8546,2018,6391,1,8614,4061,7352,0,214,214,214,0,0,19.8999996185303,79.4000015258789,3097,4417,8029,1,2018-05-22 06:19:00,600.0,5596,5596,6,10167
34,8546,2018,6391,1,3410,4061,9725,0,493,493,493,0,0,19.8999996185303,79.4000015258789,3097,4417,8029,0,2018-05-22 06:19:00,600.0,5596,5596,6,10167
34,8546,2018,6391,1,3410,9865,7352,0,18,18,18,0,0,19.8999996185303,79.4000015258789,3097,4417,8029,0,2018-05-22 06:19:00,600.0,5596,5596,6,10167
34,8546,2018,6391,1,3410,3151,7352,0,143,143,143,0,0,19.8999996185303,79.4000015258789,3097,4417,8029,0,2018-05-22 06:19:00,600.0,5596,5596,6,10167
34,8546,2018,6391,1,2720,9865,7352,0,1160,1160,1160,0,0,19.8999996185303,79.4000015258789,3097,4417,8029,0,2018-05-22 06:19:00,600.0,5596,5596,6,10167
34,8546,2018,6391,1,8614,9865,9725,0,1160,1160,1160,0,0,19.8999996185303,79.4000015258789,3097,4417,8029,1,2018-05-22 06:19:00,600.0,5596,5596,6,10167
34,8546,2018,6391,1,8614,9865,7352,0,23,23,23,0,0,19.8999996185303,79.4000015258789,3097,4417,8029,1,2018-05-22 06:19:00,600.0,5596,5596,6,10167
34,8546,2018,6391,1,8614,9865,7352,0,397,397,397,0,0,19.8999996185303,79.4000015258789,3097,4417,8029,1,2018-05-22 06:19:00,600.0,5596,5596,6,10167
34,8546,2018,6391,1,2720,9865,7352,0,542,542,542,0,1,19.8999996185303,79.4000015258789,3097,4417,8029,0,2018-05-22 06:19:00,600.0,5596,5596,6,10167
34,8546,2018,6391,1,8614,9865,7352,0,1011,1011,1011,0,0,19.8999996185303,79.4000015258789,3097,4417,8029,1,2018-05-22 06:19:00,600.0,5596,5596,6,10167
34,8546,2018,6391,1,2333,3151,7352,0,376,376,376,0,1,19.8999996185303,79.4000015258789,3097,4417,8029,0,2018-05-22 06:19:00,600.0,5596,5596,6,10167
34,8546,2018,6391,1,8614,9865,9725,0,574,574,574,0,1,19.8999996185303,79.4000015258789,3097,4417,8029,1,2018-05-22 06:19:00,600.0,5596,5596,6,10167
34,8546,2018,6391,1,3410,4061,9725,0,301,301,301,0,0,19.8999996185303,79.4000015258789,3097,4417,8029,0,2018-05-22 06:19:00,600.0,5596,5596,6,10167
34,8546,2018,6391,1,8614,9865,7352,0,635,635,635,0,1,19.8999996185303,79.4000015258789,3097,4417,8029,1,2018-05-22 06:19:00,600.0,5596,5596,6,10167
34,8546,2018,6391,1,3410,9865,7352,0,728,728,728,0,0,19.8999996185303,79.4000015258789,3097,4417,8029,0,2018-05-22 06:19:00,600.0,5596,5596,6,10167
34,8546,2018,6391,1,2333,9865,7352,0,19,19,19,0,0,19.8999996185303,79.4000015258789,3097,4417,8029,0,2018-05-22 06:19:00,600.0,5596,5596,6,10167
34,8546,2018,6391,1,3410,3151,7352,0,397,397,397,0,0,19.8999996185303,79.4000015258789,3097,4417,8029,0,2018-05-22 06:19:00,600.0,5596,5596,6,10167
34,8546,2018,6391,1,3410,9865,7352,0,542,542,542,0,1,19.8999996185303,79.4000015258789,3097,4417,8029,0,2018-05-22 06:19:00,600.0,5596,5596,6,10167
21,8546,2018,5902,1,2720,4061,9725,0,493,493,493,0,0,20.7999992370605,72.1999969482422,3097,4417,8029,0,2018-05-22 06:02:00,600.0,5596,5596,6,10167
21,8546,2018,5902,1,2333,9865,9725,0,728,728,728,0,0,20.7999992370605,72.1999969482422,3097,4417,8029,0,2018-05-22 06:02:00,600.0,5596,5596,6,10167
21,8546,2018,5902,1,8614,9865,7352,0,728,728,728,0,0,20.7999992370605,72.1999969482422,3097,4417,8029,1,2018-05-22 06:02:00,600.0,5596,5596,6,10167
21,8546,2018,5902,1,8614,9865,7352,0,194,194,194,0,0,20.7999992370605,72.1999969482422,3097,4417,8029,1,2018-05-22 06:02:00,600.0,5596,5596,6,10167
21,8546,2018,5902,1,8614,4061,7352,0,263,263,263,0,1,20.7999992370605,72.1999969482422,3097,4417,8029,1,2018-05-22 06:02:00,600.0,5596,5596,6,10167
21,8546,2018,5902,1,8614,9865,9725,0,426,426,426,0,0,20.7999992370605,72.1999969482422,3097,4417,8029,1,2018-05-22 06:02:00,600.0,5596,5596,6,10167
21,8546,2018,5902,1,3410,9865,7352,0,1011,1011,1011,0,0,20.7999992370605,72.1999969482422,3097,4417,8029,0,2018-05-22 06:02:00,600.0,5596,5596,6,10167
21,8546,2018,5902,1,8614,4061,9725,0,1011,1011,1011,0,0,20.7999992370605,72.1999969482422,3097,4417,8029,1,2018-05-22 06:02:00,600.0,5596,5596,6,10167
21,8546,2018,5902,1,2333,9865,7352,0,65,65,65,0,0,20.7999992370605,72.1999969482422,3097,4417,8029,0,2018-05-22 06:02:00,600.0,5596,5596,6,10167
